,0
0,27.0
1,51.0
3,46.0
5,23.0
6,17.0
7,25.0
8,16.0
9,20.0
12,25.0
13,14.0
14,26.0
17,44.0
18,35.0
19,20.0
21,57.0
23,24.0
24,30.0
29,20.0
31,15.0
32,29.0
33,24.0
34,26.0
38,8.0
39,25.0
42,20.0
43,45.0
44,15.0
45,9.0
46,11.0
47,24.0
48,9.0
50,25.0
51,31.0
52,37.0
53,12.0
55,28.0
56,39.0
57,17.0
58,13.0
59,66.0
60,31.0
61,16.0
62,28.0
64,10.0
65,30.0
66,57.0
68,47.0
69,25.0
70,35.0
71,14.0
72,29.0
73,26.0
74,11.0
75,32.0
76,40.0
77,10.0
79,18.0
80,15.0
81,16.0
82,42.0
83,9.0
85,12.0
86,21.0
87,7.0
88,38.0
89,8.0
91,14.0
92,9.0
93,8.0
94,37.0
95,9.0
96,5.0
99,49.0
100,6.0
102,20.0
103,9.0
104,9.0
105,10.0
106,8.0
109,31.0
110,12.0
111,8.0
112,30.0
114,5.0
115,8.0
116,17.0
117,15.0
123,20.0
124,22.0
125,11.0
127,4.0
128,14.0
129,11.0
130,13.0
131,6.0
133,19.0
134,19.0
135,16.0
136,3.0
138,24.0
139,3.0
140,7.0
142,6.0
144,10.0
145,3.0
148,4.0
150,7.0
153,15.0
154,5.0
155,6.0
156,6.0
158,14.0
160,13.0
164,3.0
165,7.0
166,16.0
169,16.0
170,9.0
174,5.0
175,5.0
178,13.0
179,5.0
180,4.0
182,7.0
184,8.0
186,6.0
187,4.0
188,4.0
191,4.0
192,3.0
193,5.0
194,8.0
198,4.0
199,5.0
203,8.0
205,5.0
206,15.0
208,4.0
212,4.0
215,19.0
219,3.0
222,6.0
228,4.0
231,3.0
232,5.0
233,8.0
235,5.0
236,8.0
237,7.0
239,3.0
241,4.0
243,8.0
246,4.0
250,5.0
255,6.0
258,4.0
265,3.0
266,3.0
282,4.0
283,6.0
290,3.0
292,4.0
300,3.0
316,3.0
353,3.0
377,3.0
382,3.0
434,4.0
