t, ñ	wz	
43,03	0,1	
43,035	0,07	
43,04	0,05	
43,045	0,03	
43,05	0	
43,055	-0,01	
43,06	-0,02	
43,065	-0,03	
43,07	-0,04	
43,075	-0,06	
43,08	-0,08	
43,085	-0,1	
43,09	-0,13	
43,095	-0,15	
43,1	-0,17	
43,105	-0,19	
43,11	-0,2	
43,115	-0,21	
43,12	-0,22	
43,125	-0,24	
43,13	-0,27	
43,135	-0,29	
43,14	-0,31	
43,145	-0,33	
43,15	-0,34	
43,155	-0,35	
43,16	-0,36	
43,165	-0,37	
43,17	-0,38	
43,175	-0,4	
43,18	-0,42	
43,185	-0,45	
43,19	-0,46	
43,195	-0,48	
43,2	-0,48	
43,205	-0,49	
43,21	-0,5	
43,215	-0,52	
43,22	-0,53	
43,225	-0,55	
43,23	-0,57	
43,235	-0,59	
43,24	-0,6	
43,245	-0,61	
43,25	-0,61	
43,255	-0,61	
43,26	-0,62	
43,265	-0,63	
43,27	-0,65	
43,275	-0,67	
43,28	-0,68	
43,285	-0,69	
43,29	-0,69	
43,295	-0,69	
43,3	-0,69	
43,305	-0,69	
43,31	-0,7	
43,315	-0,71	
43,32	-0,72	
43,325	-0,73	
43,33	-0,74	
43,335	-0,74	
43,34	-0,74	
43,345	-0,74	
43,35	-0,74	
43,355	-0,74	
43,36	-0,75	
43,365	-0,75	
43,37	-0,76	
43,375	-0,77	
43,38	-0,77	
43,385	-0,76	
43,39	-0,76	
43,395	-0,75	
43,4	-0,74	
43,405	-0,74	
43,41	-0,74	
43,415	-0,75	
43,42	-0,75	
43,425	-0,75	
43,43	-0,74	
43,435	-0,73	
43,44	-0,72	
43,445	-0,71	
43,45	-0,71	
43,455	-0,7	
43,46	-0,7	
43,465	-0,7	
43,47	-0,7	
43,475	-0,69	
43,48	-0,68	
43,485	-0,67	
43,49	-0,66	
43,495	-0,65	
43,5	-0,64	
43,505	-0,63	
43,51	-0,62	
43,515	-0,61	
43,52	-0,59	
43,525	-0,59	
43,53	-0,57	
43,535	-0,56	
43,54	-0,54	
43,545	-0,53	
43,55	-0,52	
43,555	-0,51	
43,56	-0,5	
43,565	-0,49	
43,57	-0,48	
43,575	-0,46	
43,58	-0,45	
43,585	-0,43	
43,59	-0,41	
43,595	-0,39	
43,6	-0,38	
43,605	-0,37	
43,61	-0,35	
43,615	-0,34	
43,62	-0,32	
43,625	-0,3	
43,63	-0,28	
43,635	-0,26	
43,64	-0,24	
43,645	-0,23	
43,65	-0,21	
43,655	-0,2	
43,66	-0,18	
43,665	-0,16	
43,67	-0,14	
43,675	-0,12	
43,68	-0,1	
43,685	-0,09	
43,69	-0,07	
43,695	-0,05	
43,7	-0,03	
43,705	-0,02	
43,71	0	
43,715	0,02	
43,72	0,04	
43,725	0,06	
43,73	0,07	
43,735	0,09	
43,74	0,11	
43,745	0,13	
43,75	0,14	
43,755	0,17	
43,76	0,19	
43,765	0,21	
43,77	0,22	
43,775	0,24	
43,78	0,26	
43,785	0,27	
43,79	0,29	
43,795	0,3	
43,8	0,31	
43,805	0,33	
43,81	0,34	
43,815	0,36	
43,82	0,38	
43,825	0,4	
43,83	0,42	
43,835	0,44	
43,84	0,45	
43,845	0,46	
43,85	0,47	
43,855	0,48	
43,86	0,5	
43,865	0,51	
43,87	0,53	
43,875	0,54	
43,88	0,56	
43,885	0,56	
43,89	0,58	
43,895	0,59	
43,9	0,59	
43,905	0,6	
43,91	0,62	
43,915	0,63	
43,92	0,65	
43,925	0,66	
43,93	0,66	
43,935	0,67	
43,94	0,68	
43,945	0,68	
43,95	0,69	
43,955	0,69	
43,96	0,71	
43,965	0,71	
43,97	0,72	
43,975	0,73	
43,98	0,73	
43,985	0,73	
43,99	0,73	
43,995	0,73	
44,0	0,74	
44,005	0,75	
44,01	0,75	
44,015	0,76	
44,02	0,76	
44,025	0,76	
44,03	0,76	
44,035	0,75	
44,04	0,75	
44,045	0,75	
44,05	0,75	
44,055	0,75	
44,06	0,76	
44,065	0,76	
44,07	0,75	
44,075	0,74	
44,08	0,73	
44,085	0,72	
44,09	0,72	
44,095	0,72	
44,1	0,72	
44,105	0,72	
44,11	0,72	
44,115	0,71	
44,12	0,7	
44,125	0,69	
44,13	0,68	
44,135	0,66	
44,14	0,65	
44,145	0,65	
44,15	0,65	
44,155	0,65	
44,16	0,64	
44,165	0,63	
44,17	0,61	
44,175	0,59	
44,18	0,57	
44,185	0,56	
44,19	0,55	
44,195	0,54	
44,2	0,54	
44,205	0,53	
44,21	0,52	
44,215	0,5	
44,22	0,48	
44,225	0,46	
44,23	0,44	
44,235	0,42	
44,24	0,41	
44,245	0,41	
44,25	0,4	
44,255	0,39	
44,26	0,37	
44,265	0,35	
44,27	0,32	
44,275	0,31	
44,28	0,29	
44,285	0,28	
44,29	0,27	
44,295	0,26	
44,3	0,25	
44,305	0,23	
44,31	0,21	
44,315	0,18	
44,32	0,14	
44,325	0,12	
44,33	0,1	
44,335	0,1	
