t, ñ	wz	
0,0	-125	
0,005	-101	
0,01	-50	
0,015	11	
0,02	33	
0,025	68	
0,03	84	
0,035	105	
0,04	140	
0,045	129	
0,05	90	
0,055	2	
0,06	-74	
0,065	-164	
0,07	-223	
0,075	-263	
0,08	-272	
0,085	-275	
0,09	-238	
0,095	-204	
0,1	-140	
0,105	-29	
0,11	67	
0,115	178	
0,12	230	
0,125	221	
0,13	196	
0,135	133	
0,14	78	
0,145	-7	
0,15	-78	
0,155	-157	
0,16	-225	
0,165	-276	
0,17	-278	
0,175	-271	
0,18	-244	
0,185	-200	
0,19	-113	
0,195	-8	
0,2	62	
0,205	138	
0,21	193	
0,215	180	
0,22	172	
0,225	147	
0,23	93	
0,235	1	
0,24	-87	
0,245	-138	
0,25	-143	
0,255	-140	
0,26	-132	
0,265	-102	
0,27	-72	
0,275	-53	
0,28	-19	
0,285	-10	
0,29	-12	
0,295	-7	
0,3	-41	
0,305	-89	
0,31	-95	
0,315	-87	
0,32	-86	
0,325	-66	
0,33	-30	
0,335	-11	
0,34	-6	
0,345	11	
0,35	38	
0,355	50	
0,36	80	
0,365	72	
0,37	36	
0,375	-5	
0,38	-47	
0,385	-130	
0,39	-232	
0,395	-278	
0,4	-285	
0,405	-284	
0,41	-262	
0,415	-170	
0,42	-70	
0,425	21	
0,43	102	
0,435	186	
0,44	256	
0,445	233	
0,45	199	
0,455	160	
0,46	65	
0,465	-20	
0,47	-82	
0,475	-142	
0,48	-194	
0,485	-227	
0,49	-246	
0,495	-237	
0,5	-213	
0,505	-151	
0,51	-71	
0,515	1	
0,52	98	
0,525	118	
0,53	153	
0,535	176	
0,54	156	
0,545	108	
0,55	41	
0,555	-26	
0,56	-95	
0,565	-121	
0,57	-154	
0,575	-137	
0,58	-130	
0,585	-103	
0,59	-68	
0,595	-43	
0,6	-7	
0,605	16	
0,61	18	
0,615	-20	
0,62	-29	
0,625	-28	
0,63	-56	
0,635	-70	
0,64	-33	
0,645	-37	
0,65	-45	
0,655	-32	
0,66	-12	
0,665	2	
0,67	10	
0,675	32	
0,68	46	
0,685	45	
0,69	34	
0,695	5	
0,7	-54	
0,705	-91	
0,71	-126	
0,715	-156	
0,72	-186	
0,725	-207	
0,73	-204	
0,735	-156	
0,74	-98	
0,745	-9	
0,75	60	
0,755	109	
0,76	138	
0,765	134	
0,77	126	
0,775	88	
0,78	28	
0,785	-24	
0,79	-78	
0,795	-130	
0,8	-186	
0,805	-224	
0,81	-251	
0,815	-252	
0,82	-210	
0,825	-163	
0,83	-83	
0,835	6	
0,84	90	
0,845	202	
0,85	207	
0,855	163	
0,86	132	
0,865	44	
0,87	-43	
0,875	-155	
0,88	-226	
0,885	-290	
0,89	-271	
0,895	-205	
0,9	-106	
0,905	-45	
0,91	-9	
0,915	22	
0,92	49	
0,925	125	
0,93	159	
0,935	155	
0,94	115	
0,945	19	
0,95	-94	
0,955	-118	
0,96	-101	
0,965	-80	
0,97	-111	
0,975	-105	
0,98	-86	
0,985	-26	
0,99	17	
0,995	82	
1,0	187	
1,005	173	
1,01	131	
1,015	60	
1,02	-56	
1,025	-153	
1,03	-210	
1,035	-224	
1,04	-232	
1,045	-260	
1,05	-224	
1,055	-89	
1,06	16	
1,065	104	
1,07	179	
1,075	354	
1,08	443	
1,085	627	
1,09	554	
1,095	185	
1,1	-266	
1,105	-849	
1,11	-1291	
1,115	-1660	
1,12	-1680	
1,125	-1598	
1,13	-1428	
1,135	-1280	
1,14	-1175	
1,145	-850	
1,15	-318	
1,155	165	
1,16	653	
1,165	1247	
1,17	1665	
1,175	1104	
1,18	578	
1,185	-812	
1,19	-1775	
1,195	-2847	
1,2	-2772	
1,205	-2224	
1,21	-1146	
1,215	-455	
1,22	130	
1,225	40	
1,23	-769	
1,235	-1971	
1,24	-3006	
1,245	-3520	
1,25	-3704	
1,255	-3025	
1,26	-2386	
1,265	-1654	
1,27	-1566	
1,275	-1688	
1,28	-2108	
1,285	-2699	
1,29	-3365	
1,295	-3854	
1,3	-3917	
1,305	-3945	
1,31	-3749	
1,315	-3694	
1,32	-3333	
1,325	-3321	
1,33	-3371	
1,335	-3450	
1,34	-3561	
1,345	-3838	
1,35	-4326	
1,355	-4651	
1,36	-4955	
1,365	-5014	
1,37	-5018	
1,375	-4475	
1,38	-3898	
1,385	-3319	
1,39	-3272	
1,395	-3363	
