t, ñ	wz	
0,0	93	
0,005	74	
0,01	58	
0,015	42	
0,02	50	
0,025	44	
0,03	26	
0,035	-26	
0,04	-58	
0,045	-91	
0,05	-69	
0,055	-44	
0,06	-30	
0,065	-41	
0,07	-49	
0,075	-63	
0,08	-55	
0,085	-16	
0,09	46	
0,095	67	
0,1	84	
0,105	88	
0,11	95	
0,115	72	
0,12	75	
0,125	58	
0,13	20	
0,135	-15	
0,14	-53	
0,145	-76	
0,15	-56	
0,155	-11	
0,16	0	
0,165	10	
0,17	-19	
0,175	-46	
0,18	-71	
0,185	-34	
0,19	0	
0,195	60	
0,2	109	
0,205	96	
0,21	93	
0,215	75	
0,22	51	
0,225	46	
0,23	43	
0,235	31	
0,24	-10	
0,245	-23	
0,25	-23	
0,255	0	
0,26	28	
0,265	77	
0,27	87	
0,275	67	
0,28	3	
0,285	-91	
0,29	-137	
0,295	-131	
0,3	-96	
0,305	-32	
0,31	5	
0,315	49	
0,32	65	
0,325	109	
0,33	134	
0,335	159	
0,34	147	
0,345	110	
0,35	46	
0,355	-29	
0,36	-86	
0,365	-83	
0,37	-83	
0,375	-103	
0,38	-117	
0,385	-139	
0,39	-147	
0,395	-106	
0,4	-15	
0,405	80	
0,41	130	
0,415	157	
0,42	148	
0,425	101	
0,43	66	
0,435	55	
0,44	42	
0,445	-28	
0,45	-85	
0,455	-133	
0,46	-120	
0,465	-109	
0,47	-22	
0,475	64	
0,48	121	
0,485	104	
0,49	97	
0,495	40	
0,5	4	
0,505	-32	
0,51	-33	
0,515	-58	
0,52	-70	
0,525	-74	
0,53	-76	
0,535	-33	
0,54	25	
0,545	44	
0,55	72	
0,555	89	
0,56	77	
0,565	48	
0,57	55	
0,575	50	
0,58	33	
0,585	-6	
0,59	-46	
0,595	-118	
0,6	-168	
0,605	-187	
0,61	-133	
0,615	-73	
0,62	1	
0,625	46	
0,63	86	
0,635	123	
0,64	143	
0,645	151	
0,65	142	
0,655	124	
0,66	62	
0,665	-3	
0,67	-68	
0,675	-93	
0,68	-89	
0,685	-40	
0,69	-23	
0,695	1	
0,7	-27	
0,705	-44	
0,71	-46	
0,715	0	
0,72	39	
0,725	64	
0,73	72	
0,735	58	
0,74	28	
0,745	10	
0,75	24	
0,755	14	
0,76	25	
0,765	29	
0,77	20	
0,775	34	
0,78	69	
0,785	70	
0,79	110	
0,795	89	
0,8	43	
0,805	-34	
0,81	-85	
0,815	-126	
0,82	-124	
0,825	-89	
0,83	-55	
0,835	-33	
0,84	-5	
0,845	23	
0,85	59	
0,855	94	
0,86	120	
0,865	99	
0,87	59	
0,875	28	
0,88	-5	
0,885	-27	
0,89	-11	
0,895	0	
0,9	-17	
0,905	-56	
0,91	-95	
0,915	-129	
0,92	-152	
0,925	-122	
0,93	-49	
0,935	4	
0,94	30	
0,945	44	
0,95	36	
0,955	45	
0,96	44	
0,965	45	
0,97	50	
0,975	35	
0,98	16	
0,985	18	
0,99	7	
0,995	39	
1,0	74	
1,005	60	
1,01	38	
1,015	-39	
1,02	-89	
1,025	-122	
1,03	-110	
1,035	-84	
1,04	-38	
1,045	-15	
1,05	10	
1,055	23	
1,06	44	
1,065	48	
1,07	73	
1,075	60	
1,08	53	
1,085	27	
1,09	-1	
1,095	5	
1,1	24	
1,105	47	
1,11	74	
1,115	32	
1,12	-21	
1,125	-65	
1,13	-96	
1,135	-110	
1,14	-74	
1,145	-26	
1,15	-13	
1,155	6	
1,16	15	
1,165	0	
1,17	-10	
1,175	-1	
1,18	8	
1,185	-10	
1,19	-24	
1,195	-77	
1,2	-177	
1,205	-196	
1,21	-110	
1,215	121	
1,22	327	
1,225	409	
1,23	444	
1,235	355	
1,24	58	
1,245	-264	
1,25	-416	
1,255	-397	
1,26	-301	
1,265	-215	
1,27	-168	
1,275	-202	
1,28	-164	
1,285	42	
1,29	229	
1,295	364	
1,3	401	
1,305	322	
1,31	215	
1,315	144	
1,32	52	
1,325	17	
1,33	-41	
1,335	-245	
1,34	-321	
1,345	-344	
1,35	-301	
1,355	-201	
1,36	-81	
1,365	-5	
1,37	42	
1,375	91	
1,38	174	
1,385	270	
1,39	299	
1,395	259	
1,4	163	
1,405	45	
1,41	-5	
1,415	-46	
1,42	-44	
1,425	-100	
1,43	-187	
1,435	-258	
1,44	-240	
1,445	-171	
1,45	-47	
1,455	62	
1,46	148	
1,465	166	
1,47	153	
1,475	174	
1,48	232	
1,485	232	
1,49	189	
1,495	71	
