t, ñ	wz	
0,0	-72	
0,005	-39	
0,01	-37	
0,015	-85	
0,02	-121	
0,025	-120	
0,03	-104	
0,035	-55	
0,04	-9	
0,045	42	
0,05	48	
0,055	47	
0,06	19	
0,065	5	
0,07	3	
0,075	-5	
0,08	-44	
0,085	-75	
0,09	-93	
0,095	-105	
0,1	-108	
0,105	-84	
0,11	-66	
0,115	-80	
0,12	-88	
0,125	-97	
0,13	-112	
0,135	-91	
0,14	-58	
0,145	-35	
0,15	-10	
0,155	-21	
0,16	-26	
0,165	-30	
0,17	-23	
0,175	-16	
0,18	-12	
0,185	-31	
0,19	-59	
0,195	-117	
0,2	-131	
0,205	-125	
0,21	-93	
0,215	-54	
0,22	-38	
0,225	-54	
0,23	-85	
0,235	-116	
0,24	-125	
0,245	-82	
0,25	-64	
0,255	-27	
0,26	-16	
0,265	-9	
0,27	5	
0,275	12	
0,28	34	
0,285	33	
0,29	-13	
0,295	-68	
0,3	-105	
0,305	-137	
0,31	-129	
0,315	-107	
0,32	-66	
0,325	-58	
0,33	-46	
0,335	-86	
0,34	-114	
0,345	-110	
0,35	-105	
0,355	-82	
0,36	-59	
0,365	-28	
0,37	-16	
0,375	-8	
0,38	5	
0,385	22	
0,39	9	
0,395	-17	
0,4	-80	
0,405	-105	
0,41	-149	
0,415	-144	
0,42	-120	
0,425	-72	
0,43	-66	
0,435	-77	
0,44	-86	
0,445	-110	
0,45	-104	
0,455	-95	
0,46	-69	
0,465	-47	
0,47	-40	
0,475	-22	
0,48	-4	
0,485	5	
0,49	42	
0,495	55	
0,5	13	
0,505	-29	
0,51	-72	
0,515	-132	
0,52	-119	
0,525	-87	
0,53	-44	
0,535	-41	
0,54	-34	
0,545	-62	
0,55	-82	
0,555	-98	
0,56	-59	
0,565	-44	
0,57	-38	
0,575	-32	
0,58	-32	
0,585	-39	
0,59	-17	
0,595	26	
0,6	50	
0,605	44	
0,61	7	
0,615	-42	
0,62	-69	
0,625	-73	
0,63	-67	
0,635	-56	
0,64	-44	
0,645	-43	
0,65	-65	
0,655	-75	
0,66	-63	
0,665	-47	
0,67	-21	
0,675	-2	
0,68	14	
0,685	21	
0,69	41	
0,695	41	
0,7	69	
0,705	75	
0,71	49	
0,715	28	
0,72	11	
0,725	-30	
0,73	-52	
0,735	-49	
0,74	-53	
0,745	-51	
0,75	-35	
0,755	-42	
0,76	-32	
0,765	-8	
0,77	2	
0,775	-2	
0,78	8	
0,785	23	
0,79	9	
0,795	23	
0,8	57	
0,805	75	
0,81	87	
0,815	91	
0,82	63	
0,825	28	
0,83	-13	
0,835	-57	
0,84	-28	
0,845	-11	
0,85	-10	
0,855	-8	
0,86	-15	
0,865	-25	
0,87	-28	
0,875	-26	
0,88	-1	
0,885	-9	
0,89	-15	
0,895	-23	
0,9	-6	
0,905	34	
0,91	67	
0,915	92	
0,92	107	
0,925	62	
0,93	16	
0,935	-18	
0,94	-38	
0,945	-44	
0,95	-37	
0,955	-28	
0,96	-27	
0,965	-41	
0,97	-32	
0,975	-23	
0,98	-1	
0,985	21	
0,99	21	
0,995	6	
1,0	0	
1,005	-1	
1,01	21	
1,015	55	
1,02	96	
1,025	101	
1,03	82	
1,035	31	
1,04	0	
1,045	-23	
1,05	-43	
1,055	-47	
1,06	-33	
1,065	-35	
1,07	-53	
1,075	-36	
1,08	-26	
1,085	-8	
1,09	-1	
1,095	5	
1,1	-8	
1,105	-10	
1,11	-17	
1,115	13	
1,12	30	
1,125	58	
1,13	57	
1,135	35	
1,14	2	
1,145	-32	
1,15	-49	
1,155	-54	
1,16	-54	
1,165	-59	
1,17	-64	
1,175	-73	
1,18	-59	
1,185	-50	
1,19	-37	
1,195	-21	
1,2	-35	
1,205	-44	
1,21	-35	
1,215	-26	
1,22	5	
1,225	24	
1,23	38	
1,235	47	
1,24	9	
1,245	-25	
1,25	-30	
1,255	-48	
1,26	-49	
1,265	-44	
1,27	-74	
1,275	-98	
1,28	-121	
1,285	-111	
1,29	-75	
1,295	-59	
1,3	-56	
1,305	-49	
1,31	-87	
1,315	-86	
1,32	-70	
1,325	-40	
1,33	-21	
1,335	30	
1,34	34	
1,345	14	
1,35	-2	
1,355	-26	
1,36	-47	
1,365	-64	
1,37	-71	
1,375	-76	
1,38	-86	
1,385	-84	
1,39	-77	
1,395	-61	
1,4	-43	
1,405	-37	
1,41	-52	
1,415	-69	
1,42	-72	
1,425	-65	
1,43	-38	
1,435	7	
1,44	28	
1,445	43	
1,45	38	
1,455	2	
1,46	-17	
1,465	-44	
1,47	-50	
1,475	-50	
1,48	-55	
1,485	-42	
1,49	-37	
1,495	-34	
1,5	-14	
1,505	2	
1,51	-8	
1,515	-48	
1,52	-82	
1,525	-123	
1,53	-148	
1,535	-157	
1,54	-124	
1,545	-72	
1,55	-26	
1,555	12	
1,56	32	
1,565	-1	
1,57	-18	
1,575	-50	
1,58	-45	
1,585	-79	
1,59	-42	
1,595	-35	
1,6	-25	
1,605	-48	
1,61	-65	
1,615	-89	
1,62	-110	
1,625	-89	
1,63	-48	
1,635	13	
1,64	8	
1,645	11	
1,65	-16	
1,655	-83	
1,66	-68	
1,665	-12	
1,67	115	
1,675	157	
1,68	206	
1,685	136	
1,69	64	
1,695	-123	
1,7	-226	
1,705	-176	
1,71	-54	
1,715	104	
1,72	269	
1,725	388	
1,73	398	
1,735	287	
1,74	92	
1,745	-153	
1,75	-305	
1,755	-224	
1,76	-124	
1,765	205	
1,77	370	
1,775	552	
1,78	480	
1,785	386	
1,79	15	
1,795	-225	
1,8	-197	
1,805	-94	
1,81	193	
1,815	393	
1,82	665	
1,825	628	
1,83	543	
1,835	116	
1,84	-99	
1,845	-162	
1,85	-73	
1,855	215	
1,86	488	
1,865	772	
1,87	781	
1,875	692	
1,88	200	
1,885	25	
1,89	-169	
1,895	-10	
1,9	224	
1,905	649	
1,91	888	
1,915	1018	
1,92	855	
1,925	311	
1,93	111	
1,935	-210	
1,94	69	
1,945	268	
1,95	856	
1,955	1095	
1,96	1418	
1,965	1140	
1,97	547	
1,975	140	
1,98	-238	
1,985	-136	
1,99	94	
1,995	727	
2,0	1131	
2,005	1564	
2,01	1435	
2,015	1228	
2,02	287	
2,025	-69	
2,03	-241	
2,035	6	
2,04	518	
2,045	1139	
2,05	1606	
2,055	1705	
2,06	1503	
2,065	630	
2,07	188	
2,075	-199	
2,08	-18	
2,085	327	
2,09	964	
2,095	1396	
2,1	1720	
2,105	1565	
2,11	820	
2,115	377	
2,12	-72	
2,125	-4	
2,13	191	
2,135	835	
