t, ñ	wz	
44,135	-4388	
44,14	-4371	
44,145	-4350	
44,15	-4335	
44,155	-4333	
44,16	-4322	
44,165	-4306	
44,17	-4288	
44,175	-4275	
44,18	-4223	
44,185	-4164	
44,19	-4147	
44,195	-4102	
44,2	-4069	
44,205	-4065	
44,21	-4029	
44,215	-3990	
44,22	-3941	
44,225	-3893	
44,23	-3840	
44,235	-3770	
44,24	-3724	
44,245	-3680	
44,25	-3625	
44,255	-3543	
44,26	-3484	
44,265	-3385	
44,27	-3308	
44,275	-3256	
44,28	-3204	
44,285	-3156	
44,29	-3063	
44,295	-2989	
44,3	-2918	
44,305	-2836	
44,31	-2726	
44,315	-2661	
44,32	-2588	
44,325	-2501	
44,33	-2420	
44,335	-2359	
44,34	-2279	
44,345	-2145	
44,35	-2035	
44,355	-1942	
44,36	-1838	
44,365	-1750	
44,37	-1650	
44,375	-1579	
44,38	-1514	
44,385	-1424	
44,39	-1314	
44,395	-1218	
44,4	-1104	
44,405	-979	
44,41	-866	
44,415	-768	
44,42	-674	
44,425	-561	
44,43	-437	
44,435	-356	
44,44	-250	
44,445	-135	
44,45	-43	
44,455	80	
44,46	213	
44,465	317	
44,47	403	
44,475	478	
44,48	561	
44,485	654	
44,49	738	
44,495	859	
44,5	971	
44,505	1095	
44,51	1246	
44,515	1340	
44,52	1432	
44,525	1492	
44,53	1582	
44,535	1675	
44,54	1773	
44,545	1859	
44,55	1974	
44,555	2055	
44,56	2141	
44,565	2223	
44,57	2314	
44,575	2396	
44,58	2491	
44,585	2574	
44,59	2709	
44,595	2799	
44,6	2880	
44,605	2954	
44,61	2993	
44,615	3051	
44,62	3130	
44,625	3213	
44,63	3286	
44,635	3373	
44,64	3441	
44,645	3495	
44,65	3537	
44,655	3586	
44,66	3624	
44,665	3683	
44,67	3769	
44,675	3850	
44,68	3913	
44,685	3974	
44,69	4035	
44,695	4059	
44,7	4071	
44,705	4083	
44,71	4092	
44,715	4114	
44,72	4153	
44,725	4200	
44,73	4258	
44,735	4294	
44,74	4312	
44,745	4321	
44,75	4303	
44,755	4294	
44,76	4303	
44,765	4305	
44,77	4342	
44,775	4366	
44,78	4385	
44,785	4408	
44,79	4423	
44,795	4399	
44,8	4365	
44,805	4343	
44,81	4317	
44,815	4282	
44,82	4271	
44,825	4250	
44,83	4200	
44,835	4195	
44,84	4130	
44,845	4110	
44,85	4083	
44,855	4054	
44,86	4016	
44,865	3986	
44,87	3942	
44,875	3895	
44,88	3845	
44,885	3790	
44,89	3740	
44,895	3693	
44,9	3640	
44,905	3598	
44,91	3547	
44,915	3456	
44,92	3390	
44,925	3312	
44,93	3235	
44,935	3162	
44,94	3096	
44,945	3023	
44,95	2953	
44,955	2883	
44,96	2812	
44,965	2730	
44,97	2648	
44,975	2563	
44,98	2469	
44,985	2380	
44,99	2289	
44,995	2178	
45,0	2106	
45,005	2026	
45,01	1946	
45,015	1844	
45,02	1740	
45,025	1619	
45,03	1524	
45,035	1410	
45,04	1318	
45,045	1217	
45,05	1136	
45,055	1050	
45,06	965	
45,065	875	
45,07	794	
45,075	656	
45,08	542	
45,085	428	
45,09	309	
45,095	201	
45,1	97	
45,105	12	
45,11	-82	
45,115	-162	
45,12	-258	
45,125	-351	
45,13	-466	
45,135	-581	
45,14	-687	
45,145	-792	
45,15	-900	
45,155	-1054	
45,16	-1132	
45,165	-1211	
45,17	-1296	
45,175	-1385	
45,18	-1495	
45,185	-1596	
45,19	-1705	
45,195	-1811	
45,2	-1912	
45,205	-1975	
45,21	-2059	
45,215	-2151	
45,22	-2238	
45,225	-2313	
45,23	-2406	
45,235	-2542	
45,24	-2616	
45,245	-2708	
45,25	-2810	
45,255	-2905	
45,26	-2969	
45,265	-3036	
45,27	-3095	
45,275	-3165	
45,28	-3219	
45,285	-3300	
45,29	-3372	
45,295	-3437	
45,3	-3496	
45,305	-3566	
45,31	-3621	
45,315	-3688	
45,32	-3733	
45,325	-3787	
45,33	-3814	
45,335	-3850	
45,34	-3908	
45,345	-3941	
45,35	-3985	
