t, ñ	wz	
2,33	-5233	
2,335	-5245	
2,34	-5273	
2,345	-5263	
2,35	-5249	
2,355	-5237	
2,36	-5257	
2,365	-5260	
2,37	-5272	
2,375	-5288	
2,38	-5322	
2,385	-5309	
2,39	-5269	
2,395	-5236	
2,4	-5200	
2,405	-5174	
2,41	-5177	
2,415	-5182	
2,42	-5165	
2,425	-5138	
2,43	-5094	
2,435	-5053	
2,44	-5013	
2,445	-4980	
2,45	-4951	
2,455	-4906	
2,46	-4849	
2,465	-4797	
2,47	-4735	
2,475	-4609	
2,48	-4548	
2,485	-4472	
2,49	-4395	
2,495	-4334	
2,5	-4279	
2,505	-4205	
2,51	-4135	
2,515	-4057	
2,52	-3962	
2,525	-3886	
2,53	-3802	
2,535	-3721	
2,54	-3643	
2,545	-3575	
2,55	-3492	
2,555	-3345	
2,56	-3247	
2,565	-3131	
2,57	-3007	
2,575	-2886	
2,58	-2805	
2,585	-2696	
2,59	-2620	
2,595	-2544	
2,6	-2451	
2,605	-2304	
2,61	-2194	
2,615	-2041	
2,62	-1902	
2,625	-1783	
2,63	-1678	
2,635	-1539	
2,64	-1446	
2,645	-1342	
2,65	-1215	
2,655	-1087	
2,66	-941	
2,665	-804	
2,67	-666	
2,675	-543	
2,68	-431	
2,685	-335	
2,69	-222	
2,695	-124	
2,7	12	
2,705	135	
2,71	271	
2,715	489	
2,72	596	
2,725	713	
2,73	806	
2,735	925	
2,74	1037	
2,745	1161	
2,75	1289	
2,755	1419	
2,76	1552	
2,765	1645	
2,77	1755	
2,775	1854	
2,78	1987	
2,785	2092	
2,79	2230	
2,795	2372	
2,8	2561	
2,805	2653	
2,81	2747	
2,815	2826	
2,82	2906	
2,825	2989	
2,83	3088	
2,835	3205	
2,84	3296	
2,845	3394	
2,85	3490	
2,855	3568	
2,86	3639	
2,865	3702	
2,87	3783	
2,875	3867	
2,88	4013	
2,885	4111	
2,89	4221	
2,895	4302	
2,9	4365	
2,905	4423	
2,91	4474	
2,915	4517	
2,92	4569	
2,925	4640	
2,93	4693	
2,935	4761	
2,94	4808	
2,945	4852	
2,95	4900	
2,955	4931	
2,96	4979	
2,965	5025	
2,97	5047	
2,975	5071	
2,98	5098	
2,985	5126	
2,99	5158	
2,995	5178	
3,0	5212	
3,005	5232	
3,01	5252	
3,015	5264	
3,02	5264	
3,025	5251	
3,03	5243	
3,035	5220	
3,04	5215	
3,045	5188	
3,05	5186	
3,055	5171	
3,06	5150	
3,065	5126	
3,07	5103	
3,075	5083	
3,08	5035	
3,085	4983	
3,09	4948	
3,095	4918	
3,1	4885	
3,105	4887	
3,11	4863	
3,115	4813	
3,12	4714	
3,125	4626	
3,13	4530	
3,135	4460	
3,14	4396	
3,145	4325	
3,15	4294	
3,155	4227	
3,16	4177	
3,165	4094	
3,17	3999	
3,175	3892	
3,18	3791	
3,185	3695	
3,19	3607	
3,195	3546	
3,2	3456	
3,205	3387	
3,21	3301	
3,215	3184	
3,22	3088	
3,225	2974	
3,23	2870	
3,235	2777	
3,24	2693	
3,245	2592	
3,25	2466	
3,255	2345	
3,26	2213	
3,265	2071	
3,27	1953	
3,275	1878	
3,28	1789	
3,285	1644	
3,29	1527	
3,295	1424	
3,3	1258	
3,305	1111	
3,31	969	
3,315	844	
3,32	724	
3,325	641	
3,33	563	
3,335	478	
3,34	373	
3,345	262	
3,35	94	
3,355	-63	
3,36	-210	
3,365	-404	
3,37	-487	
3,375	-571	
3,38	-645	
3,385	-761	
3,39	-874	
3,395	-1037	
3,4	-1203	
3,405	-1350	
3,41	-1473	
3,415	-1593	
3,42	-1692	
3,425	-1758	
3,43	-1844	
3,435	-1948	
3,44	-2061	
3,445	-2237	
3,45	-2372	
3,455	-2500	
3,46	-2594	
3,465	-2704	
3,47	-2804	
3,475	-2884	
3,48	-2974	
3,485	-3087	
3,49	-3181	
3,495	-3298	
3,5	-3403	
3,505	-3498	
3,51	-3582	
3,515	-3668	
3,52	-3739	
3,525	-3855	
3,53	-3936	
3,535	-4022	
3,54	-4102	
3,545	-4174	
3,55	-4231	
3,555	-4308	
3,56	-4357	
3,565	-4410	
3,57	-4500	
3,575	-4558	
3,58	-4636	
3,585	-4683	
3,59	-4736	
3,595	-4775	
3,6	-4808	
3,605	-4838	
3,61	-4882	
3,615	-4927	
3,62	-4972	
3,625	-5030	
3,63	-5095	
3,635	-5140	
3,64	-5167	
3,645	-5158	
3,65	-5156	
3,655	-5148	
3,66	-5123	
3,665	-5120	
3,67	-5135	
3,675	-5138	
3,68	-5184	
3,685	-5219	
3,69	-5241	
3,695	-5242	
3,7	-5210	
3,705	-5155	
3,71	-5124	
3,715	-5084	
3,72	-5056	
3,725	-5037	
3,73	-5032	
3,735	-5020	
3,74	-5003	
3,745	-4960	
3,75	-4919	
3,755	-4874	
3,76	-4794	
3,765	-4736	
3,77	-4658	
3,775	-4619	
3,78	-4561	
3,785	-4518	
3,79	-4466	
3,795	-4413	
3,8	-4344	
3,805	-4281	
3,81	-4213	
3,815	-4142	
3,82	-4050	
3,825	-3965	
3,83	-3890	
3,835	-3799	
3,84	-3718	
3,845	-3627	
3,85	-3506	
3,855	-3429	
3,86	-3343	
3,865	-3233	
3,87	-3130	
3,875	-3017	
3,88	-2920	
3,885	-2802	
3,89	-2700	
3,895	-2627	
3,9	-2534	
3,905	-2444	
3,91	-2353	
3,915	-2260	
3,92	-2139	
3,925	-2024	
3,93	-1845	
3,935	-1720	
3,94	-1613	
3,945	-1522	
3,95	-1406	
3,955	-1294	
3,96	-1163	
3,965	-1023	
3,97	-875	
3,975	-748	
3,98	-621	
3,985	-494	
3,99	-396	
3,995	-297	
4,0	-181	
4,005	-39	
4,01	134	
4,015	263	
4,02	401	
4,025	479	
4,03	601	
4,035	687	
4,04	799	
4,045	901	
4,05	1043	
4,055	1175	
4,06	1324	
4,065	1441	
4,07	1557	
4,075	1668	
4,08	1763	
4,085	1864	
4,09	2012	
4,095	2150	
4,1	2260	
4,105	2379	
4,11	2490	
4,115	2602	
4,12	2679	
4,125	2752	
4,13	2833	
4,135	2918	
4,14	3044	
4,145	3160	
4,15	3310	
4,155	3412	
4,16	3528	
4,165	3581	
4,17	3677	
4,175	3717	
4,18	3788	
4,185	3878	
4,19	3981	
4,195	4075	
4,2	4174	
4,205	4252	
4,21	4308	
4,215	4354	
4,22	4391	
4,225	4416	
4,23	4469	
4,235	4535	
4,24	4610	
4,245	4682	
4,25	4766	
4,255	4839	
4,26	4860	
4,265	4898	
4,27	4922	
4,275	4970	
4,28	4994	
4,285	5034	
4,29	5061	
4,295	5077	
4,3	5094	
4,305	5132	
4,31	5156	
4,315	5178	
4,32	5202	
4,325	5208	
4,33	5181	
4,335	5160	
4,34	5124	
4,345	5117	
4,35	5078	
4,355	5074	
4,36	5066	
4,365	5082	
4,37	5079	
4,375	5087	
4,38	5068	
4,385	5041	
4,39	4994	
4,395	4934	
4,4	4869	
4,405	4830	
4,41	4789	
4,415	4748	
4,42	4728	
4,425	4687	
4,43	4639	
4,435	4567	
4,44	4488	
4,445	4415	
4,45	4334	
4,455	4268	
4,46	4225	
4,465	4179	
4,47	4104	
4,475	4035	
4,48	3947	
4,485	3860	
4,49	3749	
4,495	3619	
4,5	3542	
4,505	3486	
4,51	3406	
4,515	3334	
4,52	3263	
4,525	3170	
4,53	3055	
4,535	2949	
4,54	2838	
4,545	2724	
4,55	2602	
4,555	2508	
4,56	2411	
4,565	2301	
4,57	2206	
