t (s),V (mV)
0,12.4726
1.001,12.6389
2.002,12.3861
3.003,12.4122
4.004,12.4229
5.005,12.4176
6.006,12.4065
7.007,12.3916
8.008,12.3742
9.009,12.3563
10.01,12.3365
11.011,12.3167
12.012,12.2965
13.013,12.2759
14.014,12.255
15.015,12.2347
16.016,12.2136
17.017,12.1943
18.018,12.1741
19.019,12.1543
20.02,12.1348
21.021,12.1153
22.022,12.096
23.023,12.0768
24.024,12.0585
25.025,12.0397
26.026,12.0205
27.027,12.0015
28.028,11.9826
29.029,11.9636
30.03,11.9451
30.999,11.9271
32.019,11.9073
33.02,11.89
34.021,11.8708
35.023,11.8524
36.024,11.8339
37.025,11.8155
38.026,11.7973
39.027,11.7793
40.028,11.7614
41.029,11.7438
42.03,11.7248
43,11.7083
44.001,11.6905
45.002,11.6727
46.003,11.6546
47.004,11.6369
48.005,11.6192
49.006,11.6015
50.007,11.5835
51.008,11.5661
52.009,11.5489
53.01,11.531
54.011,11.5135
55.012,11.4957
56.013,11.4784
57.014,11.4613
58.015,11.4432
59.016,11.4258
60.017,11.4085
61.018,11.3907
62.019,11.3733
63.02,11.3563
64.021,11.3396
65.022,11.3228
66.023,11.3065
67.024,11.2904
68.025,11.2742
69.026,11.2587
70.027,11.2428
71.028,11.2265
72.029,11.2107
73.03,11.195
74.031,11.1783
75.001,11.1621
76.002,11.1457
77.003,11.1288
78.004,11.1122
79.005,11.0957
80.006,11.0791
81.007,11.0628
82.008,11.0471
83.009,11.0308
84.01,11.0148
85.011,10.9975
86.012,10.9814
87.013,10.9647
88.014,10.9483
89.015,10.9327
90.016,10.9164
91.017,10.901
92.018,10.8859
93.019,10.8706
94.02,10.8549
95.021,10.8399
96.022,10.8244
97.023,10.8085
98.024,10.7929
99.025,10.7764
100.026,10.7603
101.027,10.7443
102.028,10.7284
103.029,10.7123
104.03,10.6967
105.001,10.6818
106.001,10.6658
107.002,10.6501
108.003,10.6343
109.005,10.6191
