t (s),V (mV)
0,18.2491
1.001,18.2442
2.002,18.2647
3.003,18.0041
4.004,18.13
5.005,18.0443
6.006,17.9514
7.007,17.8562
8.008,17.7616
9.009,17.6674
10.01,17.5737
11.011,17.4804
12.012,17.3881
13.013,17.2962
14.014,17.2048
15.015,17.1136
16.016,17.0244
17.017,16.9342
18.018,16.844
19.019,16.7549
20.02,16.6657
21.021,16.5775
22.022,16.4899
23.023,16.3992
23.993,16.3162
24.994,16.2293
25.995,16.1421
26.996,16.0568
27.997,15.9703
28.998,15.8849
29.999,15.8003
31,15.7147
32.001,15.6307
33.002,15.5471
34.003,15.4637
35.004,15.3792
36.005,15.2952
37.006,15.2123
38.007,15.1312
39.008,15.0505
40.009,14.9711
41.01,14.8916
42.011,14.8129
43.012,14.7353
44.013,14.6582
45.014,14.5809
46.015,14.5061
47.016,14.4302
48.017,14.3542
49.018,14.2788
50.019,14.2034
51.02,14.129
52.021,14.0539
53.022,13.9791
53.992,13.9082
54.993,13.8347
55.994,13.7615
56.995,13.6888
57.996,13.616
58.997,13.5436
59.998,13.4704
60.999,13.3985
62,13.3268
63.001,13.2556
64.002,13.1855
65.003,13.1128
66.004,13.0456
67.005,12.9774
68.006,12.9087
69.007,12.8413
70.008,12.7732
71.009,12.7061
72.01,12.6387
73.011,12.572
74.012,12.5061
75.013,12.4389
76.014,12.373
77.015,12.3078
78.016,12.2425
79.017,12.1782
80.018,12.1133
81.019,12.0479
82.021,11.9825
83.022,11.9194
84.023,11.8549
84.992,11.7936
85.993,11.7313
86.994,11.6688
87.995,11.6071
88.996,11.5448
89.997,11.4834
90.998,11.4224
91.999,11.362
93,11.3022
94.001,11.2433
95.002,11.1837
96.003,11.1249
97.004,11.0664
98.005,11.0084
99.006,10.9499
100.007,10.8924
101.008,10.8352
102.009,10.7774
103.01,10.72
104.011,10.663
105.012,10.6057
106.013,10.5498
107.014,10.493
108.015,10.4378
109.016,10.3828
110.017,10.3278
111.018,10.2727
112.019,10.2188
113.02,10.1642
114.021,10.1111
115.022,10.0564
115.992,10.0056
116.993,9.9521
117.994,9.89886
118.995,9.84622
119.996,9.79423
120.997,9.74158
121.998,9.69008
122.999,9.63858
124,9.58717
125.001,9.53694
126.002,9.48651
127.003,9.43688
128.004,9.3863
129.005,9.33704
130.006,9.28761
131.007,9.23874
132.008,9.18945
133.009,9.14059
134.01,9.09142
135.011,9.04318
136.012,8.99527
137.013,8.94707
138.014,8.89806
139.015,8.84991
140.016,8.80203
141.017,8.75492
142.018,8.70774
143.019,8.66106
144.02,8.61462
145.021,8.56716
146.022,8.52099
146.992,8.47646
147.993,8.4303
148.994,8.385
149.995,8.33939
150.996,8.29385
151.997,8.24893
152.998,8.2038
153.999,8.16021
155,8.11571
156.001,8.07265
157.002,8.03029
158.003,7.98694
159.004,7.94465
160.005,7.90286
161.006,7.86056
162.007,7.81876
163.008,7.7773
164.009,7.73569
165.01,7.69416
166.011,7.65284
167.012,7.61094
168.013,7.57059
169.014,7.52938
170.015,7.48862
171.016,7.44875
172.017,7.40758
173.018,7.36702
174.019,7.32648
175.02,7.2862
176.021,7.24603
177.022,7.20539
177.992,7.1681
178.993,7.12766
179.994,7.08889
180.995,7.04969
181.996,7.0115
182.997,6.97284
183.999,6.93446
185,6.8962
186.001,6.85758
187.002,6.81932
188.003,6.78166
189.004,6.74518
190.005,6.70811
191.006,6.67218
192.007,6.63558
193.008,6.5998
194.009,6.5645
195.01,6.52759
196.011,6.50658
197.012,6.47807
198.013,6.44322
199.014,6.40771
200.015,6.3731
201.016,6.33865
202.017,6.30423
203.018,6.26998
204.019,6.23562
205.02,6.20119
206.021,6.16704
207.022,6.13337
207.992,6.10177
208.993,6.06869
209.994,6.036
210.995,6.00248
211.996,5.96918
212.997,5.93626
213.998,5.90333
214.999,5.87048
216,5.83817
217.001,5.80644
218.002,5.77418
219.003,5.74311
220.004,5.70987
221.005,5.67988
222.006,5.64799
223.007,5.61687
224.008,5.58672
225.009,5.5568
226.01,5.52639
227.011,5.49577
228.012,5.46564
229.013,5.43518
230.014,5.40464
231.015,5.37478
232.016,5.34513
233.017,5.31602
234.018,5.28733
235.019,5.25841
236.02,5.22907
237.021,5.20115
237.991,5.17479
238.992,5.14596
239.993,5.11765
240.994,5.08936
241.995,5.06163
242.996,5.03347
243.997,5.0054
244.998,4.9773
245.999,4.94963
247,4.92289
248.001,4.89663
249.036,4.86837
249.991,4.84311
250.992,4.81571
251.993,4.78928
252.994,4.76253
253.995,4.73641
254.996,4.70995
255.997,4.68447
256.998,4.6576
257.999,4.63166
259,4.60559
260.001,4.57965
261.002,4.55377
262.003,4.5294
263.004,4.5031
264.005,4.4783
265.006,4.45287
266.007,4.42786
267.008,4.40394
268.009,4.37927
269.01,4.35405
270.011,4.32969
271.012,4.30596
272.013,4.28228
273.014,4.25762
274.015,4.23422
275.016,4.21061
276.017,4.18728
277.018,4.16413
278.019,4.14077
279.02,4.11663
280.021,4.09352
280.991,4.07231
281.992,4.04898
282.993,4.02681
283.994,4.00334
284.995,3.98129
285.996,3.95864
286.998,3.93611
287.999,3.9135
289,3.89102
290.001,3.86829
291.002,3.8462
