t (s),V (mV)
0,18.995
1.021,18.7257
2.022,18.7115
3.023,18.7155
4.024,18.7099
5.025,18.6993
6.026,18.6858
7.027,18.6698
8.028,18.652
9.029,18.6336
10.03,18.614
11.031,18.5943
12.032,18.574
13.033,18.5532
14.034,18.5324
15.035,18.5114
16.036,18.4917
17.037,18.471
18.038,18.4497
19.039,18.4293
20.04,18.4099
21.041,18.3895
22.042,18.3702
23.043,18.3502
24.044,18.331
25.045,18.3124
26.046,18.2937
27.047,18.2751
28.048,18.256
29.049,18.238
30.05,18.2191
31.051,18.2006
32.021,18.1825
33.022,18.1641
34.023,18.146
35.024,18.1282
36.025,18.1092
37.026,18.0905
38.027,18.0722
39.028,18.0543
40.029,18.0361
41.03,18.0169
42.031,17.9987
43.032,17.979
44.033,17.9607
45.034,17.9432
46.035,17.925
47.036,17.9076
48.037,17.8901
49.038,17.8728
50.039,17.8553
51.04,17.8382
52.041,17.8216
53.042,17.8047
54.043,17.7873
55.044,17.7701
56.045,17.7537
57.046,17.7356
58.047,17.7186
59.048,17.7013
60.049,17.6833
61.05,17.6657
62.051,17.6474
63.052,17.6305
64.021,17.6145
65.022,17.5964
66.023,17.578
67.024,17.5603
68.025,17.5433
69.026,17.525
70.027,17.5082
71.028,17.4907
72.029,17.4738
73.03,17.4573
74.032,17.4401
75.033,17.4233
76.034,17.4056
77.035,17.39
78.036,17.3727
79.037,17.356
80.038,17.3396
81.039,17.3237
82.04,17.3092
83.041,17.2907
84.042,17.2746
85.043,17.2581
86.044,17.242
87.045,17.2256
88.046,17.2106
89.047,17.1948
90.048,17.1791
91.049,17.1632
92.05,17.1475
93.051,17.1315
94.021,17.1153
95.022,17.1001
96.023,17.0836
97.024,17.0684
98.025,17.052
99.026,17.0372
100.027,17.0207
101.028,17.0049
102.029,16.989
103.03,16.9729
104.031,16.9571
105.032,16.9416
106.033,16.9253
107.034,16.9092
108.035,16.8939
109.036,16.878
110.037,16.8619
111.038,16.8454
112.039,16.8292
113.04,16.8131
114.041,16.7963
115.042,16.7794
116.043,16.7634
117.044,16.747
118.045,16.7313
119.046,16.7152
120.047,16.6995
121.048,16.6834
122.049,16.6674
123.05,16.6513
124.051,16.6349
125.021,16.6207
126.022,16.6061
127.023,16.5899
128.024,16.5749
129.025,16.5602
130.026,16.5445
131.027,16.5291
132.028,16.5137
133.029,16.4983
134.03,16.4828
135.031,16.4673
136.032,16.4512
137.033,16.4348
138.034,16.4196
139.035,16.4043
140.036,16.3893
141.037,16.3734
142.038,16.3586
143.039,16.3426
144.04,16.3273
145.041,16.3121
146.042,16.2975
147.043,16.2826
148.044,16.2684
149.045,16.2544
150.046,16.2398
151.047,16.2252
152.048,16.2112
153.049,16.196
154.05,16.181
155.051,16.1657
156.052,16.151
157.021,16.137
158.022,16.1223
159.023,16.1071
160.024,16.0927
161.025,16.0781
162.026,16.0635
163.027,16.0489
164.028,16.0348
165.029,16.0198
166.03,16.0056
167.031,15.99
168.032,15.9763
169.033,15.9615
170.034,15.9463
171.035,15.9315
172.036,15.917
173.037,15.9022
174.038,15.8881
175.039,15.8737
176.04,15.8583
177.041,15.8445
178.042,15.83
179.043,15.8158
180.044,15.8011
181.045,15.7863
182.046,15.7712
183.047,15.7564
184.048,15.7423
185.049,15.7271
186.051,15.7126
187.051,15.6984
188.021,15.6849
