t (s),V (mV)
0,13.5506
1.03,13.3065
2.08,13.3144
3.105,13.2971
4.106,13.2706
5.107,13.239
6.108,13.2079
7.109,13.1748
8.11,13.1407
9.111,13.1072
10.112,13.073
11.113,13.0395
12.114,13.0068
13.115,12.9735
14.116,12.9396
15.117,12.9056
16.118,12.874
17.119,12.8416
18.12,12.8098
19.121,12.7778
20.122,12.7461
21.123,12.7152
22.124,12.6841
23.125,12.6533
24.126,12.6221
25.127,12.5909
26.128,12.56
27.129,12.5289
28.13,12.4987
29.131,12.4684
30.132,12.4373
31.133,12.4076
32.134,12.3762
33.135,12.3464
34.105,12.3168
35.106,12.2865
36.107,12.256
37.108,12.2262
38.109,12.1958
39.11,12.1659
40.111,12.1357
41.112,12.1054
42.113,12.0759
43.114,12.0453
44.116,12.0167
45.116,11.9872
46.117,11.9577
47.118,11.9291
48.119,11.901
49.12,11.8724
50.122,11.8436
51.123,11.8151
52.124,11.7859
53.125,11.7587
54.126,11.7314
55.127,11.7038
56.128,11.6762
57.129,11.6484
58.13,11.6206
59.131,11.5935
60.132,11.5656
61.133,11.5382
62.134,11.5093
63.135,11.4823
64.105,11.4557
65.106,11.4295
66.107,11.402
67.108,11.3754
68.109,11.3491
69.11,11.3226
70.111,11.2956
71.112,11.2693
72.113,11.243
73.114,11.2175
74.115,11.1916
75.116,11.1659
76.117,11.1401
77.118,11.1155
78.119,11.0906
79.12,11.0659
80.121,11.04
81.122,11.0158
82.123,10.9896
83.124,10.9642
84.125,10.9393
85.126,10.9141
86.127,10.8886
87.128,10.864
88.129,10.8398
89.13,10.8143
90.131,10.7891
91.132,10.7648
92.133,10.74
93.134,10.7157
94.135,10.6917
95.105,10.6684
96.106,10.6443
97.107,10.6195
98.108,10.5961
99.109,10.5716
100.11,10.5474
101.111,10.5232
102.112,10.4989
103.113,10.4751
104.114,10.4502
105.115,10.4253
106.116,10.4007
107.117,10.3772
108.118,10.3531
109.119,10.3299
110.12,10.3066
111.121,10.2835
112.122,10.2602
113.123,10.2365
114.124,10.2131
115.125,10.1896
116.126,10.1669
117.127,10.1435
118.128,10.1198
119.129,10.0972
120.13,10.0743
121.131,10.0523
122.132,10.0296
123.133,10.0072
124.134,9.98579
125.135,9.96343
126.105,9.94211
127.106,9.9198
128.107,9.89805
129.108,9.87602
130.109,9.85337
131.11,9.83079
132.111,9.80432
133.112,9.78731
134.113,9.76473
135.114,9.74169
136.115,9.71774
137.116,9.69531
138.117,9.6736
139.118,9.65212
140.119,9.63093
141.12,9.61003
142.121,9.58876
143.122,9.56852
144.123,9.54634
145.124,9.5273
146.125,9.50597
147.126,9.48515
148.127,9.46381
149.128,9.4431
150.129,9.42195
151.13,9.40105
152.131,9.38092
153.132,9.36063
154.133,9.34083
155.134,9.32057
156.135,9.30072
157.105,9.28187
158.106,9.26111
159.107,9.24133
160.108,9.22147
161.109,9.20134
162.11,9.18158
163.111,9.16123
164.112,9.14252
165.113,9.12382
166.114,9.10467
167.115,9.08597
168.116,9.06632
169.117,9.04636
170.118,9.02727
171.119,9.00835
172.12,8.99057
173.121,8.97241
174.122,8.95516
175.123,8.93662
176.124,8.91753
177.125,8.89803
178.126,8.87881
179.127,8.85955
180.128,8.83939
181.129,8.8196
182.13,8.79914
183.131,8.7799
184.132,8.76032
185.133,8.741
186.134,8.72174
187.135,8.7025
188.104,8.68416
189.105,8.66627
190.106,8.64736
191.107,8.6293
192.109,8.61076
193.109,8.5911
194.111,8.57264
195.112,8.55369
196.113,8.53428
197.114,8.51538
198.115,8.49662
199.116,8.47799
200.117,8.45911
201.118,8.44151
202.119,8.4227
203.12,8.40482
204.121,8.38516
205.122,8.36736
206.123,8.34835
207.124,8.33015
208.125,8.31152
209.126,8.29368
210.127,8.27584
211.128,8.25675
212.129,8.23658
213.13,8.22058
214.131,8.20125
215.132,8.18291
216.133,8.16483
217.134,8.14605
218.135,8.12847
219.105,8.11109
220.106,8.09349
221.107,8.07594
222.108,8.05797
223.109,8.04039
224.11,8.02291
225.111,8.00654
226.112,7.98826
227.113,7.9707
228.114,7.95381
229.115,7.93621
230.116,7.91911
231.117,7.89978
232.118,7.88449
233.119,7.8678
234.12,7.85108
235.121,7.83494
236.122,7.81813
237.123,7.80178
238.124,7.7855
239.125,7.76838
240.126,7.75268
241.127,7.7354
242.128,7.71824
243.129,7.70121
244.13,7.68508
245.131,7.66855
246.132,7.65101
247.133,7.63459
248.134,7.61915
249.135,7.6032
250.104,7.58789
251.125,7.57202
252.126,7.55599
253.127,7.54034
254.128,7.52494
255.129,7.50936
256.13,7.49279
257.131,7.47705
258.132,7.46075
259.133,7.44442
260.134,7.42791
261.104,7.41276
262.105,7.39643
263.106,7.38028
264.107,7.36497
265.108,7.34906
266.109,7.33265
267.11,7.31712
268.111,7.30197
269.112,7.28632
270.113,7.2705
271.114,7.25547
272.115,7.24013
273.116,7.22373
274.117,7.20789
275.118,7.19131
276.119,7.17551
277.12,7.1598
278.121,7.14451
279.122,7.12817
280.123,7.11202
281.124,7.09523
282.125,7.07817
283.126,7.06259
284.127,7.0464
285.128,7.02848
286.129,7.01114
287.13,6.99392
288.131,6.97729
