t	x	t_1	x_1
0.0	115.44999999999999	0.0	-109.44999999999999
0.24	112.64999999999998	0.24	-109.55000000000001
0.48	108.75	0.48	-109.75
0.72	105.69999999999999	0.72	-109.80000000000001
0.96	104.44999999999999	0.96	-108.30000000000001
1.2	106.35000000000002	1.2	-106.80000000000001
1.44	109.05000000000001	1.44	-106.55000000000001
1.68	111.60000000000002	1.68	-106.15
1.92	114.0	1.92	-106.1
2.16	116.80000000000001	2.16	-107.19999999999999
2.4	115.44999999999999	2.4	-109.4
2.64	112.55000000000001	2.64	-109.69999999999999
2.88	108.85000000000002	2.88	-109.44999999999999
3.12	105.44999999999999	3.12	-109.75
3.36	104.85000000000002	3.36	-108.19999999999999
3.6	105.85000000000002	3.6	-106.85
3.84	109.10000000000002	3.84	-106.19999999999999
4.08	112.0	4.08	-106.19999999999999
4.32	114.75	4.32	-105.69999999999999
4.5600000000000005	116.80000000000001	4.5600000000000005	-106.9
4.8	115.60000000000002	4.8	-109.15
5.04	112.64999999999998	5.04	-109.6
5.28	108.44999999999999	5.28	-109.25
5.520000000000001	105.35000000000002	5.520000000000001	-109.6
5.76	104.75	5.76	-108.0
6.0	106.19999999999999	6.0	-107.05000000000001
6.24	109.0	6.24	-106.25
6.48	111.80000000000001	6.48	-106.35
6.72	114.89999999999998	6.72	-105.44999999999999
6.96	116.60000000000002	6.96	-106.80000000000001
7.2	115.55000000000001	7.2	-108.75
7.44	112.69999999999999	7.44	-109.05000000000001
7.68	109.0	7.68	-108.9
7.92	105.30000000000001	7.92	-109.4
8.16	104.5	8.16	-107.94999999999999
8.4	106.19999999999999	8.4	-106.65
8.64	108.39999999999998	8.64	-105.69999999999999
8.88	112.19999999999999	8.88	-105.6
9.120000000000001	115.30000000000001	9.120000000000001	-105.4
9.36	117.30000000000001	9.36	-107.0
9.6	115.75	9.6	-109.5
9.84	112.55000000000001	9.84	-110.0
10.08	108.64999999999998	10.08	-109.5
10.32	105.80000000000001	10.32	-109.30000000000001
10.56	104.35000000000002	10.56	-108.1
10.8	106.69999999999999	10.8	-106.69999999999999
11.040000000000003	108.89999999999998	11.040000000000003	-106.5
11.28	111.64999999999998	11.28	-105.9
11.52	114.75	11.52	-105.5
11.76	116.39999999999998	11.76	-106.94999999999999
12.0	115.44999999999999	12.0	-109.05000000000001
12.24	112.55000000000001	12.24	-109.5
12.48	108.0	12.48	-109.69999999999999
12.72	105.80000000000001	12.72	-109.35
12.96	104.44999999999999	12.96	-108.44999999999999
13.200000000000001	107.10000000000002	13.200000000000001	-106.69999999999999
13.44	109.0	13.44	-106.05000000000001
13.68	111.89999999999998	13.68	-105.5
13.92	114.35000000000002	13.92	-104.9
14.16	116.14999999999998	14.16	-106.6
14.4	114.64999999999998	14.4	-109.4
14.64	112.60000000000002	14.64	-110.25
14.88	108.69999999999999	14.88	-109.25
15.120000000000001	105.60000000000002	15.120000000000001	-110.25
15.36	104.75	15.36	-108.80000000000001
15.6	106.60000000000002	15.6	-106.69999999999999
15.84	109.60000000000002	15.84	-106.1
16.080000000000002	111.19999999999999	16.080000000000002	-106.75
16.32	113.5	16.32	-105.9
16.56	116.10000000000002	16.56	-106.75
16.8	115.05000000000001	16.8	-108.65
17.04	112.69999999999999	17.04	-110.55000000000001
17.28	108.80000000000001	17.28	-109.80000000000001
17.52	105.30000000000001	17.52	-110.05000000000001
17.76	104.85000000000002	17.76	-108.75
18.0	106.5	18.0	-106.4
18.240000000000002	109.05000000000001	18.240000000000002	-106.55000000000001
18.48	111.5	18.48	-107.5
18.72	114.75	18.72	-106.19999999999999
18.96	116.5	18.96	-107.4
19.2	115.64999999999998	19.2	-109.44999999999999
19.44	113.14999999999998	19.44	-110.05000000000001
19.68	108.64999999999998	19.68	-109.65
19.92	105.69999999999999	19.92	-109.80000000000001
