t	x
0.0	579.4
0.24	576.15
0.48	571.05
0.72	565.95
0.96	562.3
1.2	562.7
1.44	566.9
1.68	572.6
1.92	577.1
2.16	579.9
2.4	579.7
2.64	576.0
2.88	570.85
3.12	565.8
3.36	562.6
3.6	563.0
3.84	566.65
4.08	572.6
4.32	578.1
4.5600000000000005	580.35
4.8	579.15
5.04	576.5
5.28	570.8
5.520000000000001	565.8
5.76	562.65
6.0	563.05
6.24	566.9
6.48	572.5
6.72	577.85
6.96	580.4
7.2	579.25
7.44	576.25
7.68	570.55
7.92	566.0
8.16	562.6
8.4	562.65
8.64	566.6
8.88	572.3
9.120000000000001	577.0
9.36	580.1
9.6	579.0
9.84	576.5
10.08	571.0
10.32	566.15
10.56	562.75
10.8	561.75
11.040000000000003	566.45
11.28	571.6
11.52	577.0
11.76	579.9
12.0	578.85
12.24	576.7
12.48	571.35
12.72	566.3
12.96	562.2
13.200000000000001	562.5
13.44	566.1
13.68	571.9
13.92	576.95
14.16	579.45
14.4	579.05
14.64	576.5
14.88	571.35
15.120000000000001	566.05
15.36	562.55
15.6	562.75
15.84	566.6
16.080000000000002	571.65
16.32	577.1
16.56	579.65
16.8	579.5
17.04	576.6
17.28	571.4
17.52	566.45
17.76	562.85
18.0	562.8
18.240000000000002	566.55
18.48	571.4
18.72	576.45
18.96	579.7
19.2	579.5
19.44	576.35
19.68	571.55
19.92	566.85
