t	x
0.0	564.65
0.24	572.45
0.48	580.05
0.72	580.2
0.96	573.5
1.2	565.8
1.44	562.4
1.68	567.6
1.92	576.2
2.16	581.05
2.4	577.55
2.64	569.7
2.88	563.45
3.12	564.0
3.36	572.1
3.6	580.15
3.84	580.65
4.08	574.35
4.32	565.8
4.5600000000000005	562.55
4.8	566.75
5.04	575.0
5.28	580.8
5.520000000000001	578.0
5.76	570.1
6.0	563.85
6.24	563.8
6.48	570.5
6.72	579.25
6.96	581.1
7.2	575.2
7.44	567.15
7.68	562.4
7.92	566.65
8.16	574.4
8.4	580.8
8.64	578.55
8.88	571.35
9.120000000000001	564.1
9.36	563.1
9.6	569.45
9.84	579.05
10.08	580.75
10.32	576.1
10.56	567.65
10.8	563.0
11.040000000000003	565.15
11.28	573.4
11.52	580.1
11.76	578.55
12.0	572.0
12.24	564.7
12.48	563.1
12.72	568.6
12.96	577.85
13.200000000000001	581.0
13.44	577.75
13.68	568.75
13.92	563.4
14.16	565.35
14.4	572.5
14.64	579.3
14.88	580.1
15.120000000000001	572.55
15.36	565.6
15.6	563.2
15.84	567.85
16.080000000000002	577.4
16.32	580.65
16.56	577.3
16.8	568.95
17.04	564.95
17.28	565.4
17.52	572.25
17.76	579.4
18.0	580.3
18.240000000000002	573.25
18.48	566.25
18.72	564.5
18.96	567.8
19.2	576.0
19.44	580.45
19.68	577.45
19.92	570.3
